tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
100000000,1,0,0,0,10,0,100,0,172800,1,60,934921479915546219487647,4874837707010916706856946,0,0,698658288282210580470707288,697417126222208340000000000,695826343883706000000000000,0,0,0,0,1099429802151289537527581,1683355069355349150085020
100000000,1,0,5000,0,10,0,100,0,172800,1,60,466628355724960965863121,4876640399573350938537207,0,0,697433248971869547570788525,696536586358173950000000000,693195515996184000000000000,0,0,0,0,1277543169292562926593494,1974900000577701920689077
100000000,1,0,10000,0,10,0,100,0,172800,1,60,0,4949324396956337716512110,0,0,716655343756516540043787701,718913032927767130000000000,713481695439861000000000000,0,0,0,0,1478047015733474999999999,2297681067257970645372543
100000000,1,1,0,0,10,0,100,0,172800,1,60,896330763166628782473601,4665075723222625826126071,0,0,704439320249279006517667706,703513565078136960000000000,701637721192770000000000000,0,0,0,0,1004866836845910250867614,1660400348876454135732131
100000000,1,1,5000,0,10,0,100,0,172800,1,60,447008305335900982789426,4665111249352132411247455,0,0,705700740587951521384420115,705129659572972370000000000,701583436268782000000000000,0,0,0,0,1182905524559996213073392,1931821749307798076468867
100000000,1,1,10000,0,10,0,100,0,172800,1,60,0,4672933855321876958147552,0,0,706982397322171621480981313,706756499502204780000000000,701684427855635000000000000,0,0,0,0,1386862570811109999999999,2180886923612440983204430
100000000,2,0,0,0,10,0,100,0,172800,1,60,1526673246368814196659418,6584191184649383954479826,0,5447605320847112130482046,458228551503903118503131360,457476041454811900000000000,460139300433121000000000000,0,0,0,0,4009999997456,0
100000000,2,0,5000,0,10,0,100,0,172800,1,60,760535137274505195451386,6647861276731080941690937,0,4719979938805508562158626,458164790023576721536945696,457476041454811900000000000,460164457798920000000000000,0,0,0,0,4009999997465,0
100000000,2,0,10000,0,10,0,100,0,172800,1,60,0,6767621498246118516939384,0,4034713497298032711135492,458101070447940226748800071,457476041454811900000000000,460208949311724000000000000,0,0,0,0,4009999997471,0
100000000,2,1,0,0,10,0,100,0,172800,1,60,1643340339891801335441154,7662659639208760984609239,0,6244465324329476075940781,458228551503903118503131360,457476041454811900000000000,460537575948002000000000000,32,0,0,0,4009999997453,0
