tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,reserveCostBps,bufferDays,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,bootstrapWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,bufferPaidWei,residualSourceClaimWei
100000000,0,1,10000,0,10,0,10,7,172800,1,60,0,3689888038466750646216813,478676470898630980396005,4780000001125,478745236041836044623850644,543159327891902760000000000,544595941647517000000000000,0,0,242,258,267491548051003811994974,387256899297470185712186
100000000,1,0,0,0,10,0,10,7,172800,1,60,956439848892217877991907,4850580314308309793204249,885871999637441240819185,5649887714001,705236768933353055301763468,755775003579589940000000000,757933368544592000000000000,0,0,182,197,413349018729285194240491,463510502688670971296926
100000000,1,0,5000,0,10,0,10,7,172800,1,60,478930545010411151021733,4857612047983818723186589,811516776625430437716797,5280106261951,706733010148402193287799402,772902109980655000000000000,774814138677434000000000000,0,0,209,225,414457384559185687514632,508588569423125509846373
100000000,1,0,10000,0,10,0,10,7,172800,1,60,0,4864904364456532000396791,735675184427525793980406,5074010588527,708225192364889387976459404,773897126131962740000000000,775283944402335000000000000,0,0,233,251,410816384407906614051940,597675478220952191416731
100000000,1,1,0,0,10,0,10,7,172800,1,60,897568572685219099865963,4547564387999380545132351,812609466671074042028493,6368578819111,690453478722886689055311052,739306518334505960000000000,741279242767292000000000000,0,0,161,177,397642963136363498341725,443378818696586447856142
100000000,1,1,5000,0,10,0,10,7,172800,1,60,449109432379395354144485,4551900449802387461204450,758477801857174938995554,3154759289135,691718499118967919393986132,755576390520879380000000000,757316455609118000000000000,0,0,184,204,400923492484303260831527,485595550514405270518166
100000000,1,1,10000,0,10,0,10,7,172800,1,60,0,4556490441598939435284800,703906444040249848503701,5320320314830,692977924209656663043497099,756383806526908890000000000,757621862300617000000000000,0,0,206,229,397183293788454463351238,570342876395039860485755
100000000,2,0,0,0,10,0,10,7,172800,1,60,1522253979631018265099817,6608529975189268028014226,544154106806237501285450,4913368429593955829150592,458101070447940226748800071,457476041454811900000000000,460149302745632000000000000,0,0,0,0,4009999997457,0
100000000,2,0,5000,0,10,0,10,7,172800,1,60,759039058592916596244194,6627375055388911563072808,511415288852425907507394,4192048621353328013961240,458101070447940226748800071,457476041454811900000000000,460158991533249000000000000,0,0,0,0,4009999997464,0
100000000,2,0,10000,0,10,0,10,7,172800,1,60,0,6767621498246118516939384,478676470898630980396005,3556037026399401730739487,458101070447940226748800071,457476041454811900000000000,460208949311724000000000000,0,0,0,0,4009999997471,0
