tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
100000000,3,0,10000,0,85,10,50,0,172800,1,60,0,4154172298902322560499119,0,1135240495202804809078584,457092800272557927745525348,455986986704086340000000000,459005918318835462000000000,0,0,0,0,3008809077343,0,0
100000000,3,1,0,0,85,10,50,0,172800,1,60,885005618290639508847648,4167864827592159164464795,0,2023490055474700966176514,457319229594129592301353129,455986986704086340000000000,459016366901644611000000000,2,0,0,0,3013457327618,0,0
100000000,3,1,5000,0,85,10,50,0,172800,1,60,441052532932064846317616,4160893966519470562974193,0,1577907813477987112023661,457205940107579207853744435,455986986704086340000000000,459011025200472831000000000,0,0,0,0,3010265704814,0,0
100000000,3,1,10000,0,85,10,50,0,172800,1,60,0,4154172298902322560499119,0,1135240495202804809078584,457092800272557927745525348,455986986704086340000000000,459005918318835462000000000,0,0,0,0,3008809077343,0,0
100000000,4,0,0,0,85,10,50,0,172800,1,60,1492454793349110293094569,7217901695492020901309009,0,3810328781226648366564682,659793087882300000018829800,663684807089668950000000000,668584834518786606000000000,0,0,0,0,3014073468807,0,0
100000000,4,0,5000,0,85,10,50,0,172800,1,60,740950439202352540625270,7326667593314230670998715,0,3106711796251611462837849,649553915982520581293445037,667638846094329660000000000,672599752036078860000000000,0,0,0,0,3014922211265,0,0
100000000,4,0,10000,0,85,10,50,0,172800,1,60,0,7444849030139061818610624,0,2445366584082410058048006,638018827916837599661369040,675037696620580650000000000,680039532328439979000000000,0,0,0,0,2353557851557519210204,0,0
100000000,4,1,0,0,85,10,50,0,172800,1,60,1427375870381622067114979,6986392719053556210086353,0,3598327482861775850170089,579738306252001459289915395,575494767216339000000000000,580310208035216649000000000,0,0,0,0,3017783053816,0,0
100000000,4,1,5000,0,85,10,50,0,172800,1,60,712966564528230655853721,7081085632626670092553700,0,2985173775025408649048370,600403454217105728382102531,596512406166106070000000000,601321284294055443000000000,0,0,0,0,3003993193354,0,0
100000000,4,1,10000,0,85,10,50,0,172800,1,60,0,7206247728182873260989370,0,2336877955030805359846394,602340236438625932077073627,607272996836112720000000000,612143806287609540000000000,0,0,0,0,1439973715570422934936,0,0
10000000,0,0,0,0,85,10,50,0,172800,1,60,73450304187893967666205,380981382180894157356057,0,3750000053010000000000,48818804802978363595146401,51765830054611390000000000,51834361582128042000000000,0,0,0,0,37726163431360931384881,77888380414751412505252,0
